category,type,year,n
"Cah #1 - Washington, Plymouth, North Carolina",1,2012,0.23
"Cah #1 - Washington, Plymouth, North Carolina",1,2013,0.28
"Cah #1 - Washington, Plymouth, North Carolina",1,2014,0.32
"Cah #1 - Washington, Plymouth, North Carolina",1,2015,0.32
"Cah #1 - Washington, Plymouth, North Carolina",1,2016,0.37
"Cah #1 - Washington, Plymouth, North Carolina",1,2017,0.66
"Cah Acquisition Co #4 - Drumright, Drumright, Oklahoma",1,2011,0.07
"Cah Acquisition Co #4 - Drumright, Drumright, Oklahoma",1,2012,0.09
"Cah Acquisition Co #4 - Drumright, Drumright, Oklahoma",1,2013,0.08
"Cah Acquisition Co #4 - Drumright, Drumright, Oklahoma",1,2014,0.08
"Cah Acquisition Co #4 - Drumright, Drumright, Oklahoma",1,2015,0.08
"Cah Acquisition Co #4 - Drumright, Drumright, Oklahoma",1,2016,0.28
"Cah Acquisition Co #4 - Drumright, Drumright, Oklahoma",1,2017,0.44
"Quartz Mountain Medical Center, Mangum, Oklahoma",1,2011,0.15
"Quartz Mountain Medical Center, Mangum, Oklahoma",1,2012,0.1
"Quartz Mountain Medical Center, Mangum, Oklahoma",1,2013,0.06
"Quartz Mountain Medical Center, Mangum, Oklahoma",1,2014,0.06
"Quartz Mountain Medical Center, Mangum, Oklahoma",1,2015,0.19
"Quartz Mountain Medical Center, Mangum, Oklahoma",1,2016,0.53
"De Smet Memorial Hospital, De Smet, South Dakota",1,2012,0.37
"De Smet Memorial Hospital, De Smet, South Dakota",1,2013,0.38
"De Smet Memorial Hospital, De Smet, South Dakota",1,2014,0.35
"De Smet Memorial Hospital, De Smet, South Dakota",1,2015,0.35
"De Smet Memorial Hospital, De Smet, South Dakota",1,2016,0.34
"De Smet Memorial Hospital, De Smet, South Dakota",1,2017,0.31
"Bayside Community Hospital, Anahuac, Texas",1,2011,0.3
"Bayside Community Hospital, Anahuac, Texas",1,2012,0.33
"Bayside Community Hospital, Anahuac, Texas",1,2013,0.36
"Bayside Community Hospital, Anahuac, Texas",1,2014,0.39
"Bayside Community Hospital, Anahuac, Texas",1,2015,0.35
"Bayside Community Hospital, Anahuac, Texas",1,2016,0.36
"Bayside Community Hospital, Anahuac, Texas",1,2017,0.4
"Chillicothe Hospital District, Chillicothe, Texas",1,2012,0.25
"Chillicothe Hospital District, Chillicothe, Texas",1,2013,0.24
"Chillicothe Hospital District, Chillicothe, Texas",1,2014,0.26
"Chillicothe Hospital District, Chillicothe, Texas",1,2015,0.24
"Chillicothe Hospital District, Chillicothe, Texas",1,2016,0.28
"Chillicothe Hospital District, Chillicothe, Texas",1,2017,0.3
"Crane County Hospital District, Crane, Texas",1,2011,0.31
"Crane County Hospital District, Crane, Texas",1,2012,0.34
"Crane County Hospital District, Crane, Texas",1,2013,0.31
"Crane County Hospital District, Crane, Texas",1,2014,0.3
"Crane County Hospital District, Crane, Texas",1,2015,0.29
"Crane County Hospital District, Crane, Texas",1,2016,0.34
"Crane County Hospital District, Crane, Texas",1,2017,0.33
"Rockdale Hospital, Rockdale, Texas",1,2011,0.13
"Rockdale Hospital, Rockdale, Texas",1,2012,0.1
"Rockdale Hospital, Rockdale, Texas",1,2013,0.06
"Rockdale Hospital, Rockdale, Texas",1,2014,0.07
"Rockdale Hospital, Rockdale, Texas",1,2015,0.62
"Rockdale Hospital, Rockdale, Texas",1,2016,0.86
"Georgiana Hospital, Georgiana, Alabama",2,2012,0.19
"Georgiana Hospital, Georgiana, Alabama",2,2013,0.19
"Georgiana Hospital, Georgiana, Alabama",2,2014,0.18
"Georgiana Hospital, Georgiana, Alabama",2,2015,0.18
"Georgiana Hospital, Georgiana, Alabama",2,2016,0.37
"Crenshaw Community Hospital, Luverne, Alabama",2,2011,0.11
"Crenshaw Community Hospital, Luverne, Alabama",2,2012,0.08
"Crenshaw Community Hospital, Luverne, Alabama",2,2013,0.1
"Crenshaw Community Hospital, Luverne, Alabama",2,2014,0.11
"Crenshaw Community Hospital, Luverne, Alabama",2,2015,0.12
"Crenshaw Community Hospital, Luverne, Alabama",2,2016,0.43
"Regional General Hospital, Williston, Florida",2,2014,0.07
"Regional General Hospital, Williston, Florida",2,2015,0.08
"Regional General Hospital, Williston, Florida",2,2016,0.78
"Regional General Hospital, Williston, Florida",2,2017,0.81
"Stephens Memorial Hospital, Breckenridge, Texas",2,2012,0.09
"Stephens Memorial Hospital, Breckenridge, Texas",2,2013,0.1
"Stephens Memorial Hospital, Breckenridge, Texas",2,2014,0.1
"Stephens Memorial Hospital, Breckenridge, Texas",2,2015,0.14
"Stephens Memorial Hospital, Breckenridge, Texas",2,2016,0.33
"Stephens Memorial Hospital, Breckenridge, Texas",2,2017,0.63
"Timberlands Hospital, Crockett, Texas",2,2012,0.11
"Timberlands Hospital, Crockett, Texas",2,2013,0.13
"Timberlands Hospital, Crockett, Texas",2,2014,0.16
"Timberlands Hospital, Crockett, Texas",2,2015,0.18
"Timberlands Hospital, Crockett, Texas",2,2016,0.43
"Faith Community Hospital, Jacksboro, Texas",2,2012,0.23
"Faith Community Hospital, Jacksboro, Texas",2,2013,0.23
"Faith Community Hospital, Jacksboro, Texas",2,2014,0.24
"Faith Community Hospital, Jacksboro, Texas",2,2015,0.22
"Faith Community Hospital, Jacksboro, Texas",2,2016,0.5
"Faith Community Hospital, Jacksboro, Texas",2,2017,0.15
"Knox County Hospital, Knox City, Texas",2,2011,0.2
"Knox County Hospital, Knox City, Texas",2,2012,0.17
"Knox County Hospital, Knox City, Texas",2,2013,0.17
"Knox County Hospital, Knox City, Texas",2,2014,0.17
"Knox County Hospital, Knox City, Texas",2,2015,0.17
"Knox County Hospital, Knox City, Texas",2,2016,0.17
"Knox County Hospital, Knox City, Texas",2,2017,0.68
"Stamford Memorial Hospital, Stamford, Texas",2,2011,0.12
"Stamford Memorial Hospital, Stamford, Texas",2,2012,0.13
"Stamford Memorial Hospital, Stamford, Texas",2,2013,0.11
"Stamford Memorial Hospital, Stamford, Texas",2,2014,0.11
"Stamford Memorial Hospital, Stamford, Texas",2,2015,0.11
"Stamford Memorial Hospital, Stamford, Texas",2,2016,0.94
"Etmc Trinity, Trinity, Texas",2,2012,0.19
"Etmc Trinity, Trinity, Texas",2,2013,0.19
"Etmc Trinity, Trinity, Texas",2,2014,0.21
"Etmc Trinity, Trinity, Texas",2,2015,0.25
"Etmc Trinity, Trinity, Texas",2,2016,0.31
"Etmc Trinity, Trinity, Texas",2,2017,0.39
