category,year,n
"Moses-Ludington Hospital, Ticonderoga, New York",2011,0.32
"Moses-Ludington Hospital, Ticonderoga, New York",2012,0.33
"Moses-Ludington Hospital, Ticonderoga, New York",2013,0.32
"Moses-Ludington Hospital, Ticonderoga, New York",2014,0.32
"Moses-Ludington Hospital, Ticonderoga, New York",2015,0.36
"Moses-Ludington Hospital, Ticonderoga, New York",2016,0.38
"Washington County Hospital - Washington, Plymouth, North Carolina",2011,0.22
"Washington County Hospital - Washington, Plymouth, North Carolina",2012,0.23
"Washington County Hospital - Washington, Plymouth, North Carolina",2013,0.28
"Washington County Hospital - Washington, Plymouth, North Carolina",2014,0.32
"Washington County Hospital - Washington, Plymouth, North Carolina",2015,0.32
"Washington County Hospital - Washington, Plymouth, North Carolina",2016,0.37
"Washington County Hospital - Washington, Plymouth, North Carolina",2017,0.66
"Drumright Regional Hospital - Drumright, Drumright, Oklahoma",2011,0.07
"Drumright Regional Hospital - Drumright, Drumright, Oklahoma",2012,0.09
"Drumright Regional Hospital - Drumright, Drumright, Oklahoma",2013,0.08
"Drumright Regional Hospital - Drumright, Drumright, Oklahoma",2014,0.08
"Drumright Regional Hospital - Drumright, Drumright, Oklahoma",2015,0.08
"Drumright Regional Hospital - Drumright, Drumright, Oklahoma",2016,0.28
"Drumright Regional Hospital - Drumright, Drumright, Oklahoma",2017,0.44
"Quartz Mountain Medical Center*, Mangum, Oklahoma",2011,0.15
"Quartz Mountain Medical Center*, Mangum, Oklahoma",2012,0.10
"Quartz Mountain Medical Center*, Mangum, Oklahoma",2013,0.06
"Quartz Mountain Medical Center*, Mangum, Oklahoma",2014,0.06
"Quartz Mountain Medical Center*, Mangum, Oklahoma",2015,0.19
"Quartz Mountain Medical Center*, Mangum, Oklahoma",2016,0.53
"De Smet Memorial Hospital, De Smet, South Dakota",2012,0.37
"De Smet Memorial Hospital, De Smet, South Dakota",2013,0.38
"De Smet Memorial Hospital, De Smet, South Dakota",2014,0.35
"De Smet Memorial Hospital, De Smet, South Dakota",2015,0.35
"De Smet Memorial Hospital, De Smet, South Dakota",2016,0.34
"De Smet Memorial Hospital, De Smet, South Dakota",2017,0.31
"Bayside Community Hospital, Anahuac, Texas",2011,0.30
"Bayside Community Hospital, Anahuac, Texas",2012,0.33
"Bayside Community Hospital, Anahuac, Texas",2013,0.36
"Bayside Community Hospital, Anahuac, Texas",2014,0.39
"Bayside Community Hospital, Anahuac, Texas",2015,0.35
"Bayside Community Hospital, Anahuac, Texas",2016,0.36
"Bayside Community Hospital, Anahuac, Texas",2017,0.40
"Chillicothe Hospital District, Chillicothe, Texas",2012,0.25
"Chillicothe Hospital District, Chillicothe, Texas",2013,0.24
"Chillicothe Hospital District, Chillicothe, Texas",2014,0.26
"Chillicothe Hospital District, Chillicothe, Texas",2015,0.24
"Chillicothe Hospital District, Chillicothe, Texas",2016,0.28
"Chillicothe Hospital District, Chillicothe, Texas",2017,0.30
"Crane County Hospital District, Crane, Texas",2011,0.31
"Crane County Hospital District, Crane, Texas",2012,0.34
"Crane County Hospital District, Crane, Texas",2013,0.31
"Crane County Hospital District, Crane, Texas",2014,0.30
"Crane County Hospital District, Crane, Texas",2015,0.29
"Crane County Hospital District, Crane, Texas",2016,0.34
"Crane County Hospital District, Crane, Texas",2017,0.33
"Rockdale Hospital, Rockdale, Texas",2011,0.13
"Rockdale Hospital, Rockdale, Texas",2012,0.10
"Rockdale Hospital, Rockdale, Texas",2013,0.06
"Rockdale Hospital, Rockdale, Texas",2014,0.07
"Rockdale Hospital, Rockdale, Texas",2015,0.62
"Rockdale Hospital, Rockdale, Texas",2016,0.86
"Georgiana Hospital, Georgiana, Alabama",2012,0.19
"Georgiana Hospital, Georgiana, Alabama",2013,0.19
"Georgiana Hospital, Georgiana, Alabama",2014,0.18
"Georgiana Hospital, Georgiana, Alabama",2015,0.18
"Georgiana Hospital, Georgiana, Alabama",2016,0.37
"Crenshaw Community Hospital, Luverne, Alabama",2011,0.11
"Crenshaw Community Hospital, Luverne, Alabama",2012,0.08
"Crenshaw Community Hospital, Luverne, Alabama",2013,0.10
"Crenshaw Community Hospital, Luverne, Alabama",2014,0.11
"Crenshaw Community Hospital, Luverne, Alabama",2015,0.12
"Crenshaw Community Hospital, Luverne, Alabama",2016,0.43
"Regional General Hospital, Williston, Florida",2014,0.07
"Regional General Hospital, Williston, Florida",2015,0.08
"Regional General Hospital, Williston, Florida",2016,0.78
"Regional General Hospital, Williston, Florida",2017,0.81
"Stephens Memorial Hospital, Breckenridge, Texas",2012,0.09
"Stephens Memorial Hospital, Breckenridge, Texas",2013,0.10
"Stephens Memorial Hospital, Breckenridge, Texas",2014,0.10
"Stephens Memorial Hospital, Breckenridge, Texas",2015,0.14
"Stephens Memorial Hospital, Breckenridge, Texas",2016,0.33
"Stephens Memorial Hospital, Breckenridge, Texas",2017,0.63
"Timberlands Hospital, Crockett, Texas",2012,0.11
"Timberlands Hospital, Crockett, Texas",2013,0.13
"Timberlands Hospital, Crockett, Texas",2014,0.16
"Timberlands Hospital, Crockett, Texas",2015,0.18
"Timberlands Hospital, Crockett, Texas",2016,0.43
"Knox County Hospital, Knox City, Texas",2011,0.20
"Knox County Hospital, Knox City, Texas",2012,0.17
"Knox County Hospital, Knox City, Texas",2013,0.17
"Knox County Hospital, Knox City, Texas",2014,0.17
"Knox County Hospital, Knox City, Texas",2015,0.17
"Knox County Hospital, Knox City, Texas",2016,0.17
"Knox County Hospital, Knox City, Texas",2017,0.68
"Stamford Memorial Hospital, Stamford, Texas",2011,0.12
"Stamford Memorial Hospital, Stamford, Texas",2012,0.13
"Stamford Memorial Hospital, Stamford, Texas",2013,0.11
"Stamford Memorial Hospital, Stamford, Texas",2014,0.11
"Stamford Memorial Hospital, Stamford, Texas",2015,0.11
"Stamford Memorial Hospital, Stamford, Texas",2016,0.94
"Etmc Trinity, Trinity, Texas",2012,0.19
"Etmc Trinity, Trinity, Texas",2013,0.19
"Etmc Trinity, Trinity, Texas",2014,0.21
"Etmc Trinity, Trinity, Texas",2015,0.25
"Etmc Trinity, Trinity, Texas",2016,0.31
"Etmc Trinity, Trinity, Texas",2017,0.39
